,Data,Godz.,prog. zap 2022,zap 2022
275,2022-01-12,12,26000,"25974,925"
276,2022-01-12,13,26100,"26041,738"
277,2022-01-12,14,26250,"26148,513"
278,2022-01-12,15,25750,"25997,938"
279,2022-01-12,16,25600,"25886,5"
280,2022-01-12,17,26400,"26379,45"
281,2022-01-12,18,26400,"26426,688"
282,2022-01-12,19,26000,"26034,138"
283,2022-01-12,20,25950,"25897,613"
284,2022-01-12,21,25350,"25190,513"
285,2022-01-12,22,24100,"23629,338"
286,2022-01-12,23,22300,"22070,163"
287,2022-01-12,24,21050,"20595,888"
288,2022-01-13,1,19500,"19522,4"
289,2022-01-13,2,18800,"18956,45"
290,2022-01-13,3,18500,"18504,65"
291,2022-01-13,4,18500,"18538,413"
292,2022-01-13,5,18900,"18834,475"
293,2022-01-13,6,20400,"19707,875"
294,2022-01-13,7,23700,"22367,225"
295,2022-01-13,8,24550,"24377,525"
296,2022-01-13,9,25350,"25144,013"
297,2022-01-13,10,25400,"25505,675"
298,2022-01-13,11,25500,"25399,138"
299,2022-01-13,12,25500,"25798,4"
300,2022-01-13,13,25900,"25862,038"
301,2022-01-13,14,26050,"25981,613"
302,2022-01-13,15,25450,"25504,45"
303,2022-01-13,16,25500,"25342,975"
304,2022-01-13,17,25900,"25749,875"
305,2022-01-13,18,25900,"25674,188"
306,2022-01-13,19,25500,"25203,713"
307,2022-01-13,20,25450,"25007,45"
308,2022-01-13,21,24950,"24344,288"
309,2022-01-13,22,23700,"22806,075"
310,2022-01-13,23,21900,"21317,125"
311,2022-01-13,24,20650,"20022,775"
312,2022-01-14,1,19200,"19024,475"
313,2022-01-14,2,18500,"18410,663"
314,2022-01-14,3,18200,"18028,45"
315,2022-01-14,4,18200,"17955,663"
316,2022-01-14,5,18700,"18261,963"
317,2022-01-14,6,20200,"19108,525"
318,2022-01-14,7,23500,"21797,625"
319,2022-01-14,8,24350,"23805,375"
320,2022-01-14,9,25050,"24719,888"
321,2022-01-14,10,25100,"25180,825"
322,2022-01-14,11,25400,"25134,25"
323,2022-01-14,12,25400,"25513,188"
324,2022-01-14,13,25600,"25604,863"
325,2022-01-14,14,25750,"25638,613"
326,2022-01-14,15,25350,"25065,188"
327,2022-01-14,16,25400,"24739,913"
328,2022-01-14,17,25800,"25219,8"
329,2022-01-14,18,25800,"25213,275"
330,2022-01-14,19,25300,"24848,713"
331,2022-01-14,20,25250,"24675,725"
332,2022-01-14,21,24750,"24093,813"
333,2022-01-14,22,23500,"22588,6"
334,2022-01-14,23,21700,"21186,188"
335,2022-01-14,24,20450,"19919,075"
336,2022-01-15,1,18900,"18910,45"
337,2022-01-15,2,18150,"18231,313"
338,2022-01-15,3,17650,"17853,888"
339,2022-01-15,4,17550,"17781,9"
340,2022-01-15,5,17700,"17762,363"
341,2022-01-15,6,18100,"18040,5"
342,2022-01-15,7,19100,"19142,975"
343,2022-01-15,8,19800,"19989,413"
344,2022-01-15,9,20950,"20751,475"
345,2022-01-15,10,21700,"21391,638"
346,2022-01-15,11,22300,"21710,975"
347,2022-01-15,12,22400,"21778,263"
348,2022-01-15,13,22400,"21716,125"
349,2022-01-15,14,22500,"21781,125"
350,2022-01-15,15,21850,"21572,45"
351,2022-01-15,16,21900,"21702,388"
352,2022-01-15,17,22700,"22465,513"
353,2022-01-15,18,22700,"22635,3"
354,2022-01-15,19,22400,"22492,575"
355,2022-01-15,20,22150,"22251,65"
356,2022-01-15,21,21750,"21645,488"
357,2022-01-15,22,20750,"20586,65"
358,2022-01-15,23,19600,"19553,788"
359,2022-01-15,24,18500,"18446,238"
360,2022-01-16,1,17200,"17305,563"
361,2022-01-16,2,16500,"16688,113"
362,2022-01-16,3,16000,"16256,613"
363,2022-01-16,4,15850,"16145,913"
364,2022-01-16,5,16000,"16129,825"
365,2022-01-16,6,16150,"16368,325"
366,2022-01-16,7,16800,"16821,538"
367,2022-01-16,8,17150,"17139,263"
368,2022-01-16,9,18150,"17722,225"
369,2022-01-16,10,18850,"18480,588"
370,2022-01-16,11,19350,"18856,9"
371,2022-01-16,12,19450,"19179,188"
372,2022-01-16,13,19700,"19484,9"
373,2022-01-16,14,19750,"19755,513"
374,2022-01-16,15,19600,"19652,413"
375,2022-01-16,16,19700,"19637,063"
376,2022-01-16,17,21050,"20181,913"
377,2022-01-16,18,21100,"20604,888"
378,2022-01-16,19,21100,"20589,013"
379,2022-01-16,20,21100,"20640,45"
380,2022-01-16,21,20800,"20106,538"
381,2022-01-16,22,20050,"19233,15"
382,2022-01-16,23,19200,"18586,375"
383,2022-01-16,24,18250,"17579,775"
384,2022-01-17,1,17200,"16767,363"
385,2022-01-17,2,16700,"16271,363"
386,2022-01-17,3,16450,"16080,675"
387,2022-01-17,4,16650,"16105,038"
388,2022-01-17,5,17300,"16490,138"
389,2022-01-17,6,19300,"17714,125"
390,2022-01-17,7,22900,"20911,638"
391,2022-01-17,8,24600,"22946,55"
392,2022-01-17,9,25650,"24305,563"
393,2022-01-17,10,25650,"24917,425"
394,2022-01-17,11,25850,"24963,688"
395,2022-01-17,12,25950,"25190,825"
396,2022-01-17,13,26150,"25205,35"
397,2022-01-17,14,26350,"25259,175"
398,2022-01-17,15,26100,"24959,313"
399,2022-01-17,16,25900,"24698,963"
400,2022-01-17,17,26400,"25194,363"
401,2022-01-17,18,26400,"25434,838"
402,2022-01-17,19,25850,"25070,738"
403,2022-01-17,20,25800,"25026,038"
404,2022-01-17,21,25350,"24421,125"
405,2022-01-17,22,24200,"22938,363"
406,2022-01-17,23,22500,"21378,05"
407,2022-01-17,24,21100,"20149,438"
408,2022-01-18,1,19700,"19150,513"
409,2022-01-18,2,19000,"18590,325"
410,2022-01-18,3,18700,"18218,013"
411,2022-01-18,4,18800,"18234,4"
412,2022-01-18,5,19400,"18523,563"
413,2022-01-18,6,20900,"19383,95"
414,2022-01-18,7,24200,"22139,563"
415,2022-01-18,8,25050,"24112,125"
416,2022-01-18,9,25750,"24927,863"
417,2022-01-18,10,25700,"25159,813"
418,2022-01-18,11,25800,"25023,038"
419,2022-01-18,12,25900,"25153,513"
420,2022-01-18,13,26000,"25158,438"
421,2022-01-18,14,26150,"25231,6"
422,2022-01-18,15,25750,"25052,813"
423,2022-01-18,16,25800,"25082,675"
424,2022-01-18,17,26400,"25591,888"
425,2022-01-18,18,26400,"25849,05"
426,2022-01-18,19,25800,"25538,563"
427,2022-01-18,20,25750,"25409,25"
428,2022-01-18,21,25250,24818
429,2022-01-18,22,24100,"23204,463"
430,2022-01-18,23,22300,"21820,6"
431,2022-01-18,24,21050,"20519,588"
432,2022-01-19,1,19800,"19533,275"
433,2022-01-19,2,19100,"18801,638"
434,2022-01-19,3,18700,"18390,213"
435,2022-01-19,4,18800,"18435,813"
436,2022-01-19,5,19300,"18861,588"
437,2022-01-19,6,20800,"19706,263"
438,2022-01-19,7,24200,"22208,963"
439,2022-01-19,8,25150,"24194,788"
440,2022-01-19,9,25850,"24954,05"
441,2022-01-19,10,25800,"25316,575"
442,2022-01-19,11,25850,"25068,825"
443,2022-01-19,12,25900,"25017,788"
444,2022-01-19,13,26100,"24873,163"
445,2022-01-19,14,26250,"24837,875"
446,2022-01-19,15,25850,"24696,013"
447,2022-01-19,16,25800,"24752,5"
448,2022-01-19,17,26300,"25273,275"
449,2022-01-19,18,26300,"25440,175"
450,2022-01-19,19,25750,"25132,463"
451,2022-01-19,20,25700,"24966,35"
452,2022-01-19,21,25300,"24494,9"
453,2022-01-19,22,24000,"22947,188"
454,2022-01-19,23,22250,"21638,9"
455,2022-01-19,24,20950,"20237,163"
456,2022-01-20,1,19650,"19250,1"
457,2022-01-20,2,18900,"18523,9"
458,2022-01-20,3,18500,"18109,863"
459,2022-01-20,4,18600,"18142,488"
460,2022-01-20,5,19200,"18418,925"
461,2022-01-20,6,20600,"19283,338"
462,2022-01-20,7,24100,"21911,663"
463,2022-01-20,8,24950,"23813,613"
464,2022-01-20,9,25600,24704
465,2022-01-20,10,25650,"25017,363"
466,2022-01-20,11,25550,"24862,25"
467,2022-01-20,12,25700,"25333,088"
468,2022-01-20,13,25800,"25413,25"
469,2022-01-20,14,26050,"25559,15"
470,2022-01-20,15,25800,"25443,575"
471,2022-01-20,16,25550,"25057,175"
